Usuario,Mensagem,Localizacao
Soraya30789,"RT @tamiecristie: #JoãoNoJN Parabéns, @joaoamoedonovo !! Falou tudo! https://t.co/Y3v5c7gxHq","Minas Gerais, Brasil"
CiriloObeso,"#JoãonoJN UM MINUTO DE AMOEBA, VALE MAIS QUE OS 25 DOS OUTROS",Macapá-AP
marefran_,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn",
liviamedeiros,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn","Belo Horizonte, Brasil"
Marcelo_souza93,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn",
Dirk_Henning,"@JotaRamos7 Podiam ser 30 segundos...

Quando existe conteúdo, tempo é um detalhe

30 segundos
30... 
30...

Confirma #joãonojn",Joinville - SC -Brasil
VivianyMalta,RT @Fabricio__Bento: #JoãoNoJN O melhor candidato!,
riquinho50,#JoãoNoJN vamos com tudo MT boa entrevista .,"Rio das Ostras, Brasil"
martinsthaynaa,Tão rápido 😞 Mas deixou sua mensagem #JoãoNoJN,
NaninhaBrbs,"RT @NelioSoares1991: #JoãoNoJN mesmo q por 1 minuto sinto me representado nesta eleições, como em nem uma outras tantas q participei anteri…",Curitiba - Pr - Brasil
ArkoCapital,"RT @tr3v4: Pense #Novo! Vote Novo 30! @partidonovo30 @joaoamoedonovo 🌊🍊
#JoãoNoJN https://t.co/th8Vm8rSOx",Brasil
marefran_,RT @joaoamoedonovo: Começou o @jornalnacional! #JoãoNoJN,
Blankahp4,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn","Rio de Janeiro, Brasil"
pankecamaceio,O Brasil q eu quero é @joaoamoedonovo presidente ........ #JoãoNoJN,Maceió-AL
isaacbm,1 minuto com @joaoamoedonovo valeu mais que a semana com os outros  #JoãoNoJN,
filipebragaf,"""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN",Belo Horizonte
Felicid37376030,RT @orloffman: @joaoamoedonovo Boaa João!! #JoãoNoJN,
cleberrsouza,RT @Estvaonegreiros: Tô com o novo #joãoNoJN https://t.co/eHqtSO32UQ,Xbox
joaomiranda28,"RT @1uizfernando: O #JoãoNoJN em um minuto falou melhor que muitos dos outros candidatos somados. Se ele concretizar essas propostas, seria…","Belo Horizonte, Brasil"
cebola_luiz,RT @joaoamoedonovo: Começou o @jornalnacional! #JoãoNoJN,"Rio de Janeiro, Brasil"
marefran_,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN",
ch_prestes,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN","Teresina, Brasil"
FelipeLodeiro,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN",
