Usuario,Mensagem,Localizacao
BetoPereira19,"RT @delucca: ""Incoerência é fazer aliança por tempo de TV"", diz Marina Silva, que aliou-se ao PV pra poder somar o número de deputados nece…",
matheusgarciaol,"RT @CirinoSuellen: Marina é mulher, negra, emponderada, nortista, humilde, alfabetizada aos 16anos, sem envolvimento cm corrupção. Hj surpr…","Ouro Preto, Brasil"
keyroz74,RT @BlogDoPim: #MarinaNoJornalNacional continuou em cima do muro. Assista ao meu comentário para a Jovem Pan. https://t.co/4ELjTS2Xp3,
admpaulobrito,"RT @BlogDoPim: #MarinaNoJornalNacional: ""Eu sou mulher, sou negra, fui seringueira."" E diz que há muita gente que acha que, em razão dessa…",Brasil
Fabio_Lemos55,"RT @BlogDoPim: #MarinaNoJornalNacional: ""Eu sou a única candidata que diz que apoia a Lava Jato."" Fake News. Dizer, todos dizem. Apoiar, al…",
charlesrsantos,"RT @BlogDoPim: #MarinaNoJornalNacional: ""Eu sou mulher, sou negra, fui seringueira."" E diz que há muita gente que acha que, em razão dessa…",são paulo
xubiules,"RT @mathsoliv: Esse tweet representa o que acontece quando uma mulher entra na política, não importa o debate político o que importa é o ca…",
edusoarees,"Critica as alianças dos outros candidatos, mas as dela pode. Tudo o que é errado nos outros candidatos, com ela “nã… https://t.co/fPEQrRrMaG",Belém / Macapá - Brasil
Patrick97258730,"RT @JoelAlexandreM: Marina Silva tem 32 anos de vida publica, o que ela fez nesse tempo, porque não é cobrada por isso ? Ela já teve oportu…","Curitiba, Brasil"
EdisonImcl2,"RT @JoelAlexandreM: O que faz alguém votar na Marina ? Não tem opinião para nada, quer dialogar e fazer plebiscito para tudo, não tem lider…","RJ, Brasil"
xxandersoxx,"RT @JoelAlexandreM: Minha reação ao ouvir a Marina dizendo que vai ser presidente do Brasil.

#MarinaNoJornalNacional https://t.co/xWPzqrTv…",
Fabio_Lemos55,RT @BlogDoPim: Só falta Marina alegar que se referia exclusivamente às candidatas mulheres. Após a saída de Manuela D'Ávila para ser suplen…,
keyroz74,"RT @JoelAlexandreM: O que faz alguém votar na Marina ? Não tem opinião para nada, quer dialogar e fazer plebiscito para tudo, não tem lider…",
angelagindri43,"RT @franciscomacsoa: O único candidato que defende polícia e exercito! Que quer ordem e progresso pro país. 

O único que NÃO é esquerdista…","Porto Alegre, Brasil"
ayaeightprince,"RT @mathsoliv: Esse tweet representa o que acontece quando uma mulher entra na política, não importa o debate político o que importa é o ca…","São Paulo, Brasil"
_007Luciana,"RT @GiovanniMockus: (Marina) - Eu falo desde 2010, e já tem gente me copiando.
(Bonner) - A senhora tá repetindo o candidato de ontem.
(Mar…",Manaus - AM
oreidosuporte,"RT @BetoSilvaBR: Não vi a entrevista da 
#MarinaNoJornalNacional . Alguém sabe se ela saiu dançando tipo o Bolsonaro? https://t.co/O13QDtJl…","Juru, Brasil"
monii_soares13,RT @william_c_a_v: marina você ta de parabéns muito educada fina e de classe entrevista super calma #MarinaNoJornalNacional https://t.co/1U…,"Porto Alegre, Brasil"
debflrnc,"RT @mathsoliv: Esse tweet representa o que acontece quando uma mulher entra na política, não importa o debate político o que importa é o ca…",011
josedalbosco,RT @PastorLiomar: #MarinaNoJornalNacional Vou convocar um plebiscito para saber se o país está pronto para ter plebiscito  ! https://t.co/j…,
VovoMeyer,RT @BlogDoPim: #MarinaNoJornalNacional continuou em cima do muro. Assista ao meu comentário para a Jovem Pan. https://t.co/4ELjTS2Xp3,Brazil
mareparts,"RT @mathsoliv: Esse tweet representa o que acontece quando uma mulher entra na política, não importa o debate político o que importa é o ca…","Florianópolis, Brasil"
intenseswift,"RT @mathsoliv: Esse tweet representa o que acontece quando uma mulher entra na política, não importa o debate político o que importa é o ca…",stars hollow
ousadachego,Ninguém vê aparência do candidato mas de mulher ... De repente vira um esquadrão da moda,Instituto Ruy Palhano 
Claudiadabreu12,RT @AlexVille1907: @MarinaSilva melancia ... não engana mais ninguém. https://t.co/Z1hw2CrmCP,"Namur, Belgium"
vauldir,RT @BlogDoPim: #MarinaNoJornalNacional continuou em cima do muro. Assista ao meu comentário para a Jovem Pan. https://t.co/4ELjTS2Xp3,"Osasco, Brasil"
squyzani,RT @mannicome: Discurso final da Marina Silva foi o melhor dessa semana DEFINITIVAMENTE #MarinaNoJornalNacional https://t.co/nCgcCvaYLR,porto alegre/ muito alegre
araujoedu_FFC,"RT @BlogDoPim: #MarinaNoJornalNacional: ""Eu sou mulher, sou negra, fui seringueira."" E diz que há muita gente que acha que, em razão dessa…",Brasil
vgljunior,RT @mannicome: Discurso final da Marina Silva foi o melhor dessa semana DEFINITIVAMENTE #MarinaNoJornalNacional https://t.co/nCgcCvaYLR,Campina Grande - Paraíba
Daniel09990,"RT @Geysi_lora: Ela disse que é a única que apoia a Lavajato. Se realmente apoia, por que então não chama Lula de bandido, criminoso, de co…","Feira de Santana, Brasil"
Allanlo13238681,"RT @JoelAlexandreM: Votar na Marina Silva em 2014 até vai, afinal não tínhamos boas opções, mas votar nela hoje ? Isso seria mais do que bu…",
asvprockiy,"RT @MarinaSilva: Depois de todas essas batalhas, agora o meu tempo chegou! #MarinaNoJornalNacional #VoteMarina18 https://t.co/OAB35H9zCa",
vlogdolisboa,"Bolsonaro foi tão bem na Globo, que saiu dançando... ISSO A GLOBO NÃO MOSTRA! 😎👉🏼😂😂😂😂😂. .
@jairbolsonaro… https://t.co/I4ecc4Yb0L","Guarulhos, Brasil"
Antonio24235831,RT @BlogDoPim: #MarinaNoJornalNacional continuou em cima do muro. Assista ao meu comentário para a Jovem Pan. https://t.co/4ELjTS2Xp3,
whotramontini,"RT @mathsoliv: Esse tweet representa o que acontece quando uma mulher entra na política, não importa o debate político o que importa é o ca…",♀
_heynick_,"RT @mathsoliv: Esse tweet representa o que acontece quando uma mulher entra na política, não importa o debate político o que importa é o ca…","São Paulo, Brasil"
gylk,RT @BlogDoPim: #MarinaNoJornalNacional continuou em cima do muro. Assista ao meu comentário para a Jovem Pan. https://t.co/4ELjTS2Xp3,Palmas - Tocantins - Brasil
AraujoDelba,"RT @luishenriquengm: Espetacular. Assim se define o discurso final de Marina Silva no Jornal Nacional. Convicção, equilíbrio emocional, ser…",
paulompjunior,"RT @JoelAlexandreM: Marina Silva tem 32 anos de vida publica, o que ela fez nesse tempo, porque não é cobrada por isso ? Ela já teve oportu…",Rio de Janeiro - RJ - Brasil
Raissa_Fitz,"RT @mathsoliv: Esse tweet representa o que acontece quando uma mulher entra na política, não importa o debate político o que importa é o ca…",World
sunheelala,RT @rafalbuquerque_: Um país em que um candidato como bolsonaro é visto como mito e Marina Silva como desequilibrada diz muito sobre a opin…,Brasil
edteless,"RT @celsodossi: (Marina) - Eu falo desde 2010, e já tem gente me copiando.
(Bonner) - A senhora tá repetindo o candidato de ontem.
(Marina)…","Rio de Janeiro, Brasil"
sunheelala,"RT @BlogDoPim: Capacidade se mostra. Posicionamento, também. Valorizar a trajetória e a superação de adversidades é justo, mas #MarinaNoJor…",Brasil
ChagasCarolline,"RT @EdsGooD: #MarinaNoJornalNacional a populacao é acostumada em ouvir dos politicos que pau é pedra e vamos fazer e ñ faz.

Quando surge u…",Brasil
Jl10L,"RT @JoelAlexandreM: Marina Silva tem 32 anos de vida publica, o que ela fez nesse tempo, porque não é cobrada por isso ? Ela já teve oportu…",
rosa_salles,"RT @Fabi_Moller_: ""Eu sou mulher, negra, fui seringueira, empregada doméstica, me alfabetizei aos 16 anos. Eu sei q mt gente acha q pessoas…",
GomesDjalma,"RT @GiMG__: #MarinaNoJornalNacional

De volta ao túnel do tempo 👇 https://t.co/GVzFY3YShk",Salvador
simonedepaulo,RT @BlogDoPim: #MarinaNoJornalNacional continuou em cima do muro. Assista ao meu comentário para a Jovem Pan. https://t.co/4ELjTS2Xp3,São Paulo - Brasil
romanoski_bruno,"RT @WORD_NEWSS: Marina não sabe se foi golpe ou impeachment, mas vai convocar um plebiscito para decidir.
#MarinaNoJornalNacional https://t…",
VictorSReis_20,"RT @JoelAlexandreM: Marina Silva tem 32 anos de vida publica, o que ela fez nesse tempo, porque não é cobrada por isso ? Ela já teve oportu…",
larisssamotta,"RT @CirinoSuellen: Marina é mulher, negra, emponderada, nortista, humilde, alfabetizada aos 16anos, sem envolvimento cm corrupção. Hj surpr…","Rio Branco, Acre"
klinger_cruz,"RT @BlogDoPim: #MarinaNoJornalNacional: ""Eu sou mulher, sou negra, fui seringueira."" E diz que há muita gente que acha que, em razão dessa…",Brasília - DF -Brasil
VivianeSouto1,"O povo não perdoa,... kkk",São Gabriel - RS
fera2k,RT @BlogDoPim: #MarinaNoJornalNacional continuou em cima do muro. Assista ao meu comentário para a Jovem Pan. https://t.co/4ELjTS2Xp3,"Brasília, Distrito Federal, Br"
GabLeodegario,"RT @bchartsnet: ""Eu duvido que essas pessoas vão sabotar o meu governo"", afrontou #MarinaNoJornalNacional",
cardosomeh,"RT @MarinaSilva: Depois de todas essas batalhas, agora o meu tempo chegou! #MarinaNoJornalNacional #VoteMarina18 https://t.co/OAB35H9zCa",
mdmguimaraes,"RT @BlogDoPim: #MarinaNoJornalNacional: ""Eu sou a única candidata que diz que apoia a Lava Jato."" Fake News. Dizer, todos dizem. Apoiar, al…",Brasil
EliLins,"Oh gente , que maldade kkkkkkkk",Belo Horizonte Minas Gerais
NoemiaSilveira,#MarinaNoJornalNacional não estava sabendo que todos os candidatos tambem falam que apoiam a #LavaJato ?,"Rio de Janeiro, Brasil"
klinger_cruz,"RT @BlogDoPim: Capacidade se mostra. Posicionamento, também. Valorizar a trajetória e a superação de adversidades é justo, mas #MarinaNoJor…",Brasília - DF -Brasil
valeria130693,RT @Tatibertini: Essas sabatinas do JN é somente um campeonato pra ver quem vai ferrar quem!! Jornalistas tentando lacrar e entrevistado te…,
Mm_MMoraes,RT @BlogDoPim: #MarinaNoJornalNacional continuou em cima do muro. Assista ao meu comentário para a Jovem Pan. https://t.co/4ELjTS2Xp3,Salto SP
larissalluz,"RT @JoelAlexandreM: Minha reação ao ouvir a Marina dizendo que vai ser presidente do Brasil.

#MarinaNoJornalNacional https://t.co/xWPzqrTv…","Joinville, Brasil"
MateusMartinsV4,"RT @JOAQUIMTEIXEIA: ""MARINA SILVA, e o ABORTO?“
Vamos debater.

""MARINA SILVA, e as DROGAS?“
Vamos debater.

""MARINA SILVA, e as ARMAS?“
Va…",
gabriel_paivaLc,"RT @fabwiano: Quando o professor tá explicando algo e fica olhando fixamente em mim  https://t.co/M7nubS64mO

#MarinaNoJornalNacional",Na minha casa
gu_afonso,"RT @dabloesse: Sobre Alianças e Corrupção: @realwbonner lembrou a @MarinaSilva que ela teve 22 milhões de votos e que mesmo sabendo do ""Aer…",
BorninBR,"RT @calango77: Não conheço um ser vivo que declara voto em  Marina Silva , não vejo um adesivo da candidata numa janela ou veículo, aonde e…",Brasil
Iammoremylrds,RT @mannicome: Discurso final da Marina Silva foi o melhor dessa semana DEFINITIVAMENTE #MarinaNoJornalNacional https://t.co/nCgcCvaYLR,"Santa Catarina, Brasil"
vivianeazevedo,RT @BlogDoPim: #MarinaNoJornalNacional continuou em cima do muro. Assista ao meu comentário para a Jovem Pan. https://t.co/4ELjTS2Xp3,São Paulo
floatww,"RT @mathsoliv: Esse tweet representa o que acontece quando uma mulher entra na política, não importa o debate político o que importa é o ca…",
iuricarvaIho,"RT @mathsoliv: Esse tweet representa o que acontece quando uma mulher entra na política, não importa o debate político o que importa é o ca…",CIDADE DE DEUS 
AquilesConan,RT @BlogDoPim: #MarinaNoJornalNacional continuou em cima do muro. Assista ao meu comentário para a Jovem Pan. https://t.co/4ELjTS2Xp3,
tubaraodbonito,"RT @VladimirBorin: Que horror de entrevista...Deus me livre de viver numa  Marinolândia: O cara estuprou: dialoga com ele, fulano matou: va…",
AleSantoro33,RT @DonSergiones: Marina sabe que Dilma foi golpeada sob a liderança de Aécio que ela Marina apoiou e fez campanha. Se Marina fosse uma pes…,belo horizonte
RodrigoMarchi17,"RT @franciscomacsoa: O único candidato que defende polícia e exercito! Que quer ordem e progresso pro país. 

O único que NÃO é esquerdista…","São Paulo, Brasil"
ricsobreira,"RT @AleBlackmore: @mescobedo30 @lsentoes @patibaroli Tá na mão 😁👊😎👉👉

#MarinaNoJornalNacional https://t.co/Yl8B510Kh2","Valdosta, GA"
denisedias777,"RT @MarinaSilva: Se eu ganhar, vou governar com os melhores de todos os partidos. Temos que olhar as pessoas e a trajetória, não apenas o p…",Brazil
Flaromart,RT @BetoSilvaBR: #MarinaNoJornalNacional com licença; fui informado que mulheres não apoiam Bolsonaro. Essa informação procede? 🤔 https://t…,São José do Rio Preto
CheekyTati,"RT @delucca: A #MarinaNoJornalNacional disse que apoiou o Aécio sem saber dos esquemas de corrupção. Ô Marina, as denúncias contra Aécio er…",RS
riicksonv,"RT @EdsGooD: #MarinaNoJornalNacional a populacao é acostumada em ouvir dos politicos que pau é pedra e vamos fazer e ñ faz.

Quando surge u…",Porto Velho
DbBadia,"RT @JOAQUIMTEIXEIA: BOLSONARO ENTROU NA REDE GLOBO, CHUTOU A MESA DO JN, PASSOU O BABÃO NA CARA DA RENATA E AINDA FALOU DO CASAMENTO DO BON…",Porto Alegre
chbmesquita,RT @BlogDoPim: #MarinaNoJornalNacional continuou em cima do muro. Assista ao meu comentário para a Jovem Pan. https://t.co/4ELjTS2Xp3,
94cjones_,RT @mannicome: Discurso final da Marina Silva foi o melhor dessa semana DEFINITIVAMENTE #MarinaNoJornalNacional https://t.co/nCgcCvaYLR,28;06;42;12
BentesDa2,"RT @JoelAlexandreM: Minha reação ao ouvir a Marina dizendo que vai ser presidente do Brasil.

#MarinaNoJornalNacional https://t.co/xWPzqrTv…","Belo Horizonte, Brasil"
JuliusCaesarDir,"RT @BlogDoPim: #MarinaNoJornalNacional: ""Eu sou a única candidata que diz que apoia a Lava Jato."" Fake News. Dizer, todos dizem. Apoiar, al…",São Paulo/SP
