Usuario,Mensagem,Localizacao
leaoxcvi,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,84%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,25%
Cabo Daciolo (PATRI) 1,07%
Álvaro Dias…","Bahia, Brasil"
CleberMelo81,Impressionante o Amoêdo sem ter participado de NENHUM debate ter ficado melhor que Marina Silva e Meirelles #Eleições2018,"Mogi das Cruzes, Brasil"
fullsantiag0,"RT @naituita: a marina atrás de daciolo, amoedo, meirelles e álvaro................ https://t.co/541vGOVxVT",nan
taylorsel1,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,84%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,25%
Cabo Daciolo (PATRI) 1,07%
Álvaro Dias…",nan
MStrynner,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,84%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,25%
Cabo Daciolo (PATRI) 1,07%
Álvaro Dias…","Santana, SP"
giovannaspsbs,RT @CleberMelo81: Impressionante o Amoêdo sem ter participado de NENHUM debate ter ficado melhor que Marina Silva e Meirelles #Eleições2018,nan
taurinatuita,"RT @naituita: a marina atrás de daciolo, amoedo, meirelles e álvaro................ https://t.co/541vGOVxVT",nan
4quino,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,84%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,25%
Cabo Daciolo (PATRI) 1,07%
Álvaro Dias…","Embu, SP"
EmanuelBose,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,84%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,25%
Cabo Daciolo (PATRI) 1,07%
Álvaro Dias…",PR
fernandobnusc,Maiores decepções nas urnas foram: #Marina18 #Geraldo45 #meirelles e os eleitores que votaram no #PT depois de tudo… https://t.co/JXdi8ohK1b,BLUMENAU
MyriOliveira,"RT @MyriOliveira: Ciro, Alckmin, Marina, Boulos, Daciolo e Meirelles fecham com o Haddad no 2º turno? #Eleições2018 #BocadeUrna https://t.c…","Rio de Janeiro, Brasil"
pohalern,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,84%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,25%
Cabo Daciolo (PATRI) 1,07%
Álvaro Dias…",lugar nenhum 
whoeni,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,84%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,25%
Cabo Daciolo (PATRI) 1,07%
Álvaro Dias…","São Paulo, Brasil"
Mariii1914,"Galera, vamos se ajuntar! Quem votou no ciro, geraldo, meirelles e etc... VOTEM 13!!!!!!!!!!!! NAO VAMOS DEIXAR NOS… https://t.co/1SzVN7MRrS",nan
vinnybrandt,"Amoêdo com 2,75% de votos válidos. Mais do que a votação SOMADA de Meirelles e Cabo Daciolo #Eleições2018",Rio de Janeiro
gagaprostituto,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,84%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,25%
Cabo Daciolo (PATRI) 1,07%
Álvaro Dias…",reasonjimin ♡ #Tondy
kamylamelgarejo,"RT @Mariii1914: Galera, vamos se ajuntar! Quem votou no ciro, geraldo, meirelles e etc... VOTEM 13!!!!!!!!!!!! NAO VAMOS DEIXAR NOSSO BRASI…",nan
GabrielGuerson,"RT @vinnybrandt: Amoêdo com 2,75% de votos válidos. Mais do que a votação SOMADA de Meirelles e Cabo Daciolo #Eleições2018",rio de janeiro
skathwas75,"Com 57% das urnas apuradas, Marina Silva está com menos do que Cabo Daciolo e Meirelles!!!

Chocada!!!… https://t.co/zJgxjXrZRq","Rio de Janeiro, Brasil"
Lodge_Cheryl10,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,84%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,25%
Cabo Daciolo (PATRI) 1,07%
Álvaro Dias…",honeymoon ave
minzyfav,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,84%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,25%
Cabo Daciolo (PATRI) 1,07%
Álvaro Dias…",squad ♡ • fan account
bchartsnet,"Geraldo Alckmin (PSDB) 4,88%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,24% 
Cabo Daciolo (PATRI) 1,15%
Ma… https://t.co/9xOMHs0Q1c",Brasil
4quino,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,88%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,24% 
Cabo Daciolo (PATRI) 1,15%
Marina Sil…","Embu, SP"
lucaspacheco99,"#ChamaOMeirelles15 gastou milhões na campanha pra presidente. Nem deve ta triste
#17Neles 
#Eleições2018 
#BOLSONARO17","Barra Mansa, Brasil"
bchartsnet,"Geraldo Alckmin (PSDB) 4,79%
João Amoedo (NOVO) 2,69%
Henrique Meirelles (MDB) 1,24%
Cabo Daciolo (PATRI) 1,16%
Mar… https://t.co/168tJaNYAI",Brasil
LeandroMartyns1,Amoêdo pisando no Henrique Meirelles #Eleições2018,"Ipatinga, Brasil"
4quino,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,79%
João Amoedo (NOVO) 2,69%
Henrique Meirelles (MDB) 1,24%
Cabo Daciolo (PATRI) 1,16%
Marina Silv…","Embu, SP"
tatianamariano,"Eu tô chocada demais com a Marina atrás de Amoêdo, Meirelles, Álvaro e DACIOLO #Eleições2018 https://t.co/55lAtEAN3V",Rio de Janeiro
DanMarroni_,"João Amoêdo a frente de Marina, Meirelles, Daciolo e Álvaro Dias. Foi muito bem, diga-se

#Eleições2018","Americana, Brasil"
biancaba15,"Daciolo,Amoedo,Meireles Na Frente Da Marina Silva #Eleições2018 @DanSouza1988 https://t.co/UwpntuEIuX",Brazil
biiismark,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,79%
João Amoedo (NOVO) 2,69%
Henrique Meirelles (MDB) 1,24%
Cabo Daciolo (PATRI) 1,16%
Marina Silv…","Rio de Janeiro, Brasil"
gui02015,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,79%
João Amoedo (NOVO) 2,69%
Henrique Meirelles (MDB) 1,24%
Cabo Daciolo (PATRI) 1,16%
Marina Silv…","Cuiabá, Mato Grosso"
rglioche,Campanha com Cartolina e no Monte do Daciolo  &gt; R$ 70 milhões do Meirelles #Eleições2018,"São Paulo, Brasil"
VanessaRJ6,"Segundo turno vamos todos juntos!!!! Povo de Ciro,De Haddad, Alckmin,Marina, Boulos,Cabo Daciolo,Meireles...todos j… https://t.co/G0dVUH1RYi","Rio de Janeiro, Brasil"
oficialMMarta,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,79%
João Amoedo (NOVO) 2,69%
Henrique Meirelles (MDB) 1,24%
Cabo Daciolo (PATRI) 1,16%
Marina Silv…",Rio de Janeiro
gomezfuckngs,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,79%
João Amoedo (NOVO) 2,69%
Henrique Meirelles (MDB) 1,24%
Cabo Daciolo (PATRI) 1,16%
Marina Silv…","São Paulo, Brasil"
everton_tato,"Olha que loucura esse Brasil! O que separa o @meirelles, que declarou milhões de reais na campanha eleitoral, e o… https://t.co/4xgrACL22Q",Florianópolis/SC
bchartsnet,"Geraldo Alckmin (PSDB) 5,05%
João Amoedo (NOVO) 2,79%
Henrique Meirelles (MDB) 1,23%
Cabo Daciolo (PATRI) 1,18%
Mar… https://t.co/livxd9nz4x",Brasil
OsilvioC,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,79%
João Amoedo (NOVO) 2,69%
Henrique Meirelles (MDB) 1,24%
Cabo Daciolo (PATRI) 1,16%
Marina Silv…",Jack Antonoff
pqp_LeoJesus,"RT @bchartsnet: Geraldo Alckmin (PSDB) 5,05%
João Amoedo (NOVO) 2,79%
Henrique Meirelles (MDB) 1,23%
Cabo Daciolo (PATRI) 1,18%
Marina Silv…","Araras, Brasil"
LuaneNeiva,"RT @bchartsnet: Geraldo Alckmin (PSDB) 5,05%
João Amoedo (NOVO) 2,79%
Henrique Meirelles (MDB) 1,23%
Cabo Daciolo (PATRI) 1,18%
Marina Silv…",Salvador - BA
gui02015,"RT @bchartsnet: Geraldo Alckmin (PSDB) 5,05%
João Amoedo (NOVO) 2,79%
Henrique Meirelles (MDB) 1,23%
Cabo Daciolo (PATRI) 1,18%
Marina Silv…","Cuiabá, Mato Grosso"
agmcinefilo,RT @rglioche: Campanha com Cartolina e no Monte do Daciolo  &gt; R$ 70 milhões do Meirelles #Eleições2018,"Santo André, Brasil"
meirysilva2,"RT @bchartsnet: Geraldo Alckmin (PSDB) 5,05%
João Amoedo (NOVO) 2,79%
Henrique Meirelles (MDB) 1,23%
Cabo Daciolo (PATRI) 1,18%
Marina Silv…",nan
4quino,"RT @bchartsnet: Geraldo Alckmin (PSDB) 5,05%
João Amoedo (NOVO) 2,79%
Henrique Meirelles (MDB) 1,23%
Cabo Daciolo (PATRI) 1,18%
Marina Silv…","Embu, SP"
Igoncio,"Acabou, o coisa ruim vai ganhar. Ele tem 48%, os eleitores do Alckmin, do Meirelles, do Amoedo nunca votarão no PT.… https://t.co/vSB6WMR4L5","São Paulo, Brazil"
tutube,Presidente: Marina Silva votou no Acre. Ela está atrás de Cabo Daciolo (Patriotas) e Henrique Meirelles (MDB). João… https://t.co/jXtR26WKYM,São Paulo
