Usuario,Mensagem,Localizacao
alxvstheworld,"Votei! Votei!
Presidente: @GuilhermeBoulos e @GuajajaraSonia 50
Governadora: @LisetePSOL 50
Senadora:… https://t.co/VaQew0Y7mL","São Paulo, Brasil"
ralvarezdj,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…",Cerca
NandoFeOficial,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…","Rondônia, Brasil"
ellenrpaes,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…",Rio de Janeiro
fernanddo0423,"De Minas, meus votos, voto com esperança:
Presidente: Boulos 50
Governador: Dirlene 50 
Senador 1: Túlio Lopes 210… https://t.co/wsKKA8ykBx","Uberlândia, Brasil"
rita_genesi,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…",nan
NegaMP,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…",Brasil
wolmaraguiar,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…",nan
MadeleineOlaria,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…",nan
_Lincoln_Lee,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…",nan
marianajacobii,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…",nan
JakeSohJake,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…",nan
Magekinha,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…","São José dos Pinhais, Brasil"
