Usuario,Mensagem,Localizacao
RICARDO_COSTA01,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018",nan
t3llezera,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018","Meia Praia, Itapema"
ronaldomsrt,"RT @Cecillia: “Ele não, sem dúvidas” - Ciro Gomes ao vivo na Globo News #Eleições2018",Brasil
LaniiaBr17,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018","Rio de Janeiro, Brasil"
marquesntj155,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018",cg 
LosVeiga,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018","Paty do Alferes, Brasil"
g1,"Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6… https://t.co/6R8T2iONT7",Brasil
sra_perola,RT @portaldaband: Menções a Ciro e Bolsonaro aparecem em trending topics do Twitter no mundo #Eleições2018 https://t.co/u6F9M6ufbU https://…,nan
ramoninha__,"RT @tuesjao: só pra deixar claro que:
ciro gomes perdeu as eleições, mas ganhou os nossos corações
 assim como o hexa ficou pra 2022, ciro…","Distrito Federal, Brasília"
BrunaCorreeea20,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018",nan
excitaeng,Será que em 2022 o Ciro tem chances? Aff,20.02.18 ♡
souvegana,"RT @atenafranci: ""ciro pra onde você tá indo agora?"" ""eu vou ali para um barzinho"" hahahah
como não amar o ciro 
#Eleições2018

https://t.c…",Santos - Sp
alandefaro,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018",Santarém
ciaocomuna,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018","São Paulo, Brasil"
diegossaito,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018","São Paulo, Brasil"
