Usuario,Mensagem,Localizacao
sweeat_creature,"RT @Marcella_vv: Primeira coisa que Alckmin disse no discurso pós eleições: ""quero dizer que respeitamos os resultados das urnas"". Muito op…","Minas Gerais, Brasil"
fabricioayress2,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 21h15:
Bolsonaro, 46,5%; Haddad, 28,5%; Ciro, 12,5%; Alckmin, 4,…","Sant'Ana do Livramento, Brasil"
imortricolor,RT @correio: Alckmin tem o pior desempenho de um tucano na disputa presidencial https://t.co/HKodVXfznw #CBnasEleições #Eleições2018 https:…,"RS, BR"
VicentePilieri,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 21h15:
Bolsonaro, 46,5%; Haddad, 28,5%; Ciro, 12,5%; Alckmin, 4,…",nan
Panchoarceoarg,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 21h15:
Bolsonaro, 46,5%; Haddad, 28,5%; Ciro, 12,5%; Alckmin, 4,…","Buenos Aires, Argentina"
Jornal_Canyons,"#Eleições2018 O candidato do PSDB, Geraldo Alckmin, fez um rápido discurso no comitê de campanha do partido, na cap… https://t.co/DTJ6D5dOQ9","Praia Grande, Brasil"
BetoACCarmo,"@jdoriajr é Demagogo!! Quer poder!! @geraldoalckmin nem esfriou, ja está se vendendo p o futuro presidente… https://t.co/2rycb0w8fG",Brasil
Tuliocordeiro,"Difícil hoje é escolher uma camisa sem apoiar ninguém: Amarela Bolsonaro, Vermelha Haddad, Azul Alckmin, Laranja Am… https://t.co/LX2DOEHzVf",nan
Inez_Sousa,"Não vote em branco ou nulo, vote no Ciro, no Haddad, no Boulos, na Marina, no Alckmin... até no Daciolo, só não vot… https://t.co/l0fcLNIH5o",Brasil
GringaBrazilien,"#eleicao2018 ZAP da familia explodindo, todos em choque com fantasia da muié do Alckmin, nunca vi tanto emoji 😱😱😱😱😱… https://t.co/bG69cjGa5j",nan
LFeministe,"RT @GringaBrazilien: #eleicao2018 ZAP da familia explodindo, todos em choque com fantasia da muié do Alckmin, nunca vi tanto emoji 😱😱😱😱😱jun…","Na Terra, no Céu... Aqui e Agora."
wastetheblonde,nessas eleições eu queria estar tão confiante quanto o Alckmin que acredita que vai pro segundo turno #eleicao2018,《☆》
Gleissonlima8,"Pessoal, não se esqueçam: Bolsonaro 12, Haddad 12, Ciro 12, Marina 12, Daciolo 12, Meirelles 12, Boulos 12, Alckmin… https://t.co/JKB9GN8WkF","Sto. Amaro, Recife"
BigBrotherBRHAB,EM QUEM VOCÊ VAI VOTAR? OU VOTOU? #ViraViraClR0 #EleNao #Ciro12 #Haddad13 #Bolsonaro17 #eleicao2018 #Alckmin bolson… https://t.co/tpxkt1XImH,nan
niihcg,"RIDÍCULO, FRAUDE! Podia ser até o Ciro, ou o Alckmin ou o Haddad, mas depois vir falar q o Bolsonaro é antidemocrát… https://t.co/pKtvXKEAVk","Santo André, Brasil"
CarlosVMNiteroi,"Alguém que votou na @MarinaSilva, @cirogomes, @Haddad_Fernando ou @geraldoalckmin teve problemas ou é só com… https://t.co/zCgqikhq2c","Niterói, Brasil"
RightPrevalece,"RT @TelmoNogueira4: Pelo jeito meteram a mão até no Alckmin
#Eleições2018 
#FraudeNasUrnasEletronicas 
#EleccionesBrasil",nan
benn_mari,RT @opovoonline: Cabo Daciolo vai vencendo Geraldo Alckmin no Ceará. https://t.co/JUd0Phvbpx #Eleições2018 #EleiçõesOPOVO https://t.co/2pMB…,nan
_porai,RT @opovoonline: Cabo Daciolo vai vencendo Geraldo Alckmin no Ceará. https://t.co/JUd0Phvbpx #Eleições2018 #EleiçõesOPOVO https://t.co/2pMB…,Fortaleza/Ceara/Brasil
mordomoeugenio,Esse segundo turno do Alckmin com o Genoíno em 2002 eu não lembrava hahahhaha #Eleições2018,nan
rick_pcf,RT @opovoonline: Cabo Daciolo vai vencendo Geraldo Alckmin no Ceará. https://t.co/JUd0Phvbpx #Eleições2018 #EleiçõesOPOVO https://t.co/Xl7s…,Capital do Ceará
gabrielcosta101,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",Another planet ❇
Ignacio_PerezG,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…","Concepción,Chile"
leo_leao2,RT @opovoonline: Cabo Daciolo vai vencendo Geraldo Alckmin no Ceará. https://t.co/JUd0Phvbpx #Eleições2018 #EleiçõesOPOVO https://t.co/2pMB…,Arapiraca Al
arreguyju,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",São Paulo - Brasil
fuenteseliz,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",Planeta Tierra
Ramccs,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",nan
RendirseJamass,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",En todo el mundo
Dasarov,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",nan
Razorkaen,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…","Bogotá, D.C., Colombia"
