Usuario,Mensagem,Localizacao
vidaempartes,"Ajude a curar @MarinaSilva 

#Eleições2018 
#SegundaDetremuraSDV",URSAL
hannahcovolo,"RT @Flor1Marta: É o ódio, rancor e ressentimento que destruiu a Marina. https://t.co/j8wD8rE5oN","Copacabana, RJ/Br"
PallomaRodgs17,"É Ciro, é Haddad, é Boulos, é Marina, é qualquer um q ama a Democracia, menos essa gente da bala e da ignorância, q… https://t.co/16QQ2g1t3E","Recife, Brasil"
Inez_Sousa,"Não vote em branco ou nulo, vote no Ciro, no Haddad, no Boulos, na Marina, no Alckmin... até no Daciolo, só não vot… https://t.co/l0fcLNIH5o",Brasil
eigustavin,"Bolsonaro 12
Marina 12
Haddad 12
É 12 ❤
#eleicao2018 #ViraViraCiro12  #ViraViraCIR0 #Ciro12",Futurista
Gleissonlima8,"Pessoal, não se esqueçam: Bolsonaro 12, Haddad 12, Ciro 12, Marina 12, Daciolo 12, Meirelles 12, Boulos 12, Alckmin… https://t.co/JKB9GN8WkF","Sto. Amaro, Recife"
rodzanardi,Não voto na @MarinaSilva pois não quero atrapalhar as férias dela de 4 anos! #eleicao2018 #17Neles #FestaDaDemocracia,Rio de Janeiro
deboranazari,Parem de falar mal da Marina! #eleicao2018 #Marina18,nan
camilarackel_,Eu tô rindo que minha família tá brigando tudo pq uns são Marina e outros são Boulos... Kkkkkkkkkk minha família é… https://t.co/515XBKvviW,"Maceió, AL"
CarlosVMNiteroi,"Alguém que votou na @MarinaSilva, @cirogomes, @Haddad_Fernando ou @geraldoalckmin teve problemas ou é só com… https://t.co/zCgqikhq2c","Niterói, Brasil"
sinuheqg,"FENÔMENO MARINA

Nas eleições de 2014 teve 22 milhões de votos. 

Desta vez, até agora (95% das urnas apuradas) con… https://t.co/VJorJFONek",Brazil
luanamnds_,RT @_laurinha11_: Eu tô muito triste pela Marina https://t.co/zcqxZmXX4g,Brasil
AllanLps,"Segundo Turno... Haddad Leva. Pois quem votou em Ciro, Marina, Cabo entre outros vota em Haddad! TÁ GANHO #Eleições2018",Brasil Botucatu/ São Paulo
uper_xim,"RT @edicleoline: Não sei ainda o que é melhor, ver o Bolsonaro quase levando em primeiro turno, ou a Marina perdendo pro Daciolo. Hahaha

G…",nan
trustnolucas,"mano, no norte a marina não ficou nem no top 5 meu deus que fracasso foi esse",nan
suboatto,"Daciolo teve mais votos que Boulos e Marina, wtf?? https://t.co/A1QekhGP7c","Berlin, Germany"
si1mara,"Galera do Ciro, Marina, Daciolo... É hora de nos unirmos! O ódio não pode vencer! #Eleições2018 #HaddadPresidente","Cascavel, Brasil"
ArgothR,"Precisamos derrubar o fascismo!

Espero que @cirogomes, @MarinaSilva, @GuilhermeBoulos , apoiem o @Haddad_Fernando!!!
#Eleições2018",nan
Konstaann,"Falando sério agora: a @MarinaSilva ficou atrás do Cabo Daciolo na disputa presidencial. Eu, fosse ela, parava de v… https://t.co/ojwBmKNAKn",São paulo
ppaly,Será que a Marina volta daqui a quatro anos? #Eleições2018,"São Paulo, Brasil"
RealitySocial,"Caralho, a Marina mano... ahahaha #Eleições2018 https://t.co/cqhbtKh9Tc","Rio de Janeiro, Brasil"
marcocask,"Daciolo com mais votos que Meirelles e, acreditem, que a Marina!!!!
#Eleições2018",Cidade Maravilhosa
sauloguilherme,"RT @RealitySocial: Caralho, a Marina mano... ahahaha #Eleições2018 https://t.co/cqhbtKh9Tc",wanderlust
erbesonnn,"RT @RealitySocial: Caralho, a Marina mano... ahahaha #Eleições2018 https://t.co/cqhbtKh9Tc",n t
TheDiegoLeonel,"RT @RealitySocial: Caralho, a Marina mano... ahahaha #Eleições2018 https://t.co/cqhbtKh9Tc","Maceió, Brasil"
EndrewFaray,"RT @RealitySocial: Caralho, a Marina mano... ahahaha #Eleições2018 https://t.co/cqhbtKh9Tc",Fortaleza - CE
valdson_fi,"Marina teve menos voto que Cabo Daciolo! GENTE, O QUE TÁ ACONTECENDO? #Eleições2018",nan
TodaTV,Eu não imaginaria nunca que a Marina Silva só teria 1% dos votos e teria menos votos que o Cabo Daciolo #Eleições2018,nan
Souza_Cleo72,Acho que depois dessa a Marina já pode se aposentar.  #Eleições2018,Somewhere Over The Rainbow/Bsb
caetanocris_,RT @TodaTV: Eu não imaginaria nunca que a Marina Silva só teria 1% dos votos e teria menos votos que o Cabo Daciolo #Eleições2018,#021
EloVerdade,RT @TodaTV: Eu não imaginaria nunca que a Marina Silva só teria 1% dos votos e teria menos votos que o Cabo Daciolo #Eleições2018,Brasil
andrehfo,Quem hoje precisa deitar a cabecinha no travesseiro e pensar no que se tornou para si mesma é dona @MarinaSilva: pe… https://t.co/pKmkZFiRxp,Brasil
Duda_PMKP,O Bonner votou na Marina... Não é possível! Kkkkkkkk #Eleições2018,"Araucária, Paraná, Brasil"
kaiosantt0s,"O Bonner tá chocado com os pouquíssimos votos que Marina recebeu 
#Eleições2018","Sao Paulo, Brazil"
vejotvpraisso,"Bonner realmente está sentido pela Marina. Tadinho.
Daciolo será chamado pro debate daqui a 4 anos. Pronto.
#Eleições2018",nan
AnnaCaroline_23,"Esse país fodido não merece a Marina e o Ciro. 
#Eleições2018","Espírito Santo, Brasil"
marcela_fan,Marina deveria dar um tempo,"São Paulo das Missões, Brasil"
Bewrosa,Posha tia Marina que desidratação é essa #Eleições2018,"Palmas, Brasil"
TheFarm3,Bonner segue  muito chocado pela porcentagem baixa de Marina. Já sabemos em quem ele votou. 😜#Eleições2018,nan
brunopatette,"Marina Silva (REDE) nessa campanha se desidratou... Em agosto, as pesquisas apontavam que ela teria 16% dos votos.… https://t.co/UcQZEsaZyi", Campinas - São Paulo
ThayaFranklin,O que aconteceu com a Marina Silva?? #Eleições2018,Rio de Janeiro
cripessoa,RT @alexandresena: Grande surpresa destas #Eleições2018: Cabo Daciolo sendo mais votado que Marina e Meirelles.,nan
natalieportmaw,"RT @RealitySocial: Caralho, a Marina mano... ahahaha #Eleições2018 https://t.co/cqhbtKh9Tc",wisteria lane
Savagefiction,A Marina perdeu pro Henrique Meirelles e Daciolo. Será que ela aprende agora que não dá pra disputar a presidência… https://t.co/QO6658Zfi3,nan
julianomir,"Bonner ta chocado com os números de Marina, não para de falar isso #eleições2018",Alameda dos Anjos(Angel Grove)
aM4rdyBum,RT @falarafha: ai marina por favor desative por uns anos #Eleições2018 https://t.co/MTX8oswyUb,"SP, Brasil"
Allaskaa_,"Não sei porque o @realwbonner fica surpreso pelo @CaboDaciolo ter mais votos que a @MarinaSilva...

#Eleições2018",nan
chritphr,"A Marina desidratou muito nessas eleições, daqui a pouco ela some! #Eleições2018 #FicaTemer",nan
Gabriel50012548,"RT @RealitySocial: Caralho, a Marina mano... ahahaha #Eleições2018 https://t.co/cqhbtKh9Tc","Natal, Brasil"
pedro_kaled,"E a desidratação da Marina Silva?
#Eleições2018 
#bonner","Manaus, Brasil"
mxtheusgrizx,RT @martinssmarina: ó o seis e o meia dúzia kkkkk https://t.co/FEHx1ZLRrM,Santa Catarina
nahneeves,"Bonner ""preocupado"" com a colocação da Marina, poupe a nossa paciência e se preocupe com esse candidato que ficou e… https://t.co/d7tDAJMHKw",Wakanda
alexcranio2003,"Todos, mas todos estão espantados como a marina Silva despencou. Nem froid explica #Eleições2018","Minas Gerais, Brasil"
h0gwrts,acho triste demais a Marina Silva com menos de 1% e só consigo culpar o machismo por isso. Com as propostas de gove… https://t.co/nBlbAE8ibA,Brasil
JuRealitys,"RT @RealitySocial: Caralho, a Marina mano... ahahaha #Eleições2018 https://t.co/cqhbtKh9Tc",Twitter Oficial
