Usuario,Mensagem,Localizacao
DanSouza1988,"RT @LeandroMartyns1: Marina sendo jogada na BR, perdendo até pra Daciolo, Álvaro e Amoedo, coitada #Eleições2018","Gaspar, SC, Brasil"
P_Roberto21,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,"Nilópolis, Brasil"
EduardoHideoK,"RT @LeandroMartyns1: Marina sendo jogada na BR, perdendo até pra Daciolo, Álvaro e Amoedo, coitada #Eleições2018","São Paulo, Brasil"
whoeni,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,84%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,25%
Cabo Daciolo (PATRI) 1,07%
Álvaro Dias…","São Paulo, Brasil"
SEPedro7,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,Vila Oculta da Folha 
alessandrazv,"Por enquanto, com 57% das urnas apuradas, Cabo Daciolo (Patriotas) está na frente de Alvaro Dias (Podemos), Marina… https://t.co/SVGQwmhV7u",Brasília
arubucar,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,nan
correio,"RT @alessandrazv: Por enquanto, com 57% das urnas apuradas, Cabo Daciolo (Patriotas) está na frente de Alvaro Dias (Podemos), Marina Silva…","Brasília, Brasil"
gagaprostituto,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,84%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,25%
Cabo Daciolo (PATRI) 1,07%
Álvaro Dias…",reasonjimin ♡ #Tondy
sinuheqg,"RT @alessandrazv: Por enquanto, com 57% das urnas apuradas, Cabo Daciolo (Patriotas) está na frente de Alvaro Dias (Podemos), Marina Silva…",Brazil
tediosim,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,"Errejota, Brasil"
Lodge_Cheryl10,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,84%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,25%
Cabo Daciolo (PATRI) 1,07%
Álvaro Dias…",honeymoon ave
benecsa,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,"iPhone: -22.984161,-43.203628"
minzyfav,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,84%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,25%
Cabo Daciolo (PATRI) 1,07%
Álvaro Dias…",squad ♡ • fan account
camilanunes,"RT @alessandrazv: Por enquanto, com 57% das urnas apuradas, Cabo Daciolo (Patriotas) está na frente de Alvaro Dias (Podemos), Marina Silva…","Porto Alegre, Brasil"
Semduvida_PM,@CaboDaciolo (Patriota RJ) na frente de Álvaro Dias (Podemos PR) não tem preço! 🤔👏,Brasil
vicentenunes,"RT @alessandrazv: Por enquanto, com 57% das urnas apuradas, Cabo Daciolo (Patriotas) está na frente de Alvaro Dias (Podemos), Marina Silva…",Brasília/ Brasil
aatfreitas,"RT @alessandrazv: Por enquanto, com 57% das urnas apuradas, Cabo Daciolo (Patriotas) está na frente de Alvaro Dias (Podemos), Marina Silva…",Rio de Janeiro
leokatona,"RT @alessandrazv: Por enquanto, com 57% das urnas apuradas, Cabo Daciolo (Patriotas) está na frente de Alvaro Dias (Podemos), Marina Silva…",Uberlândia
denistd14,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,Guarabira-PB
