Usuario,Mensagem,Localizacao
fernandohlf,RT @c_melillo: Boa foto professor Amoedo #eleicao2018 #ElesNao https://t.co/woBfemxiLT,Brazil
uasouza,Hoje foi dia de Trintar!!! Mandar a mensagem que o NOVO vem Aí!! @joaoamoedonovo @partidonovo30 #eleicao2018 #NOVO,nan
debora_moniki,RT @c_melillo: Boa foto professor Amoedo #eleicao2018 #ElesNao https://t.co/woBfemxiLT,"Pernambuco, Brasil"
tatiane_massari,RT @c_melillo: Boa foto professor Amoedo #eleicao2018 #ElesNao https://t.co/woBfemxiLT,"Hortolândia, Brasil"
LydsBlackthorn,RT @c_melillo: Boa foto professor Amoedo #eleicao2018 #ElesNao https://t.co/woBfemxiLT,São Paulo Institute
di_macedo,"@VEJA Massss gente, e no ano que o Lula não foi em nenhum debate? Isso ninguém lembra né?? #surreal #eleicao2018 #Amoedo30",Brasil
Christianteko,RT @c_melillo: Boa foto professor Amoedo #eleicao2018 #ElesNao https://t.co/woBfemxiLT,nan
tainasnts_,"votei no amoedo, mas sou qualquer pessoa menos bolsonaro!!! #eleicao2018","Pompéia, Brasil"
kahemartins,"Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad… https://t.co/W9z5NPmF3N","Dublin City, Ireland"
TiagoSilva__,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…","Campo Mourão, PR"
sf_roberta,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…",Belo Horizonte
24SarahJones,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…",nan
luizacarderelli,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…","São Paulo, Brasil"
paartypoisonn,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…",manaus
imovingon1,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…",Brasíliar
takemeout,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…","Rio de Janeiro, Brasil"
roberta_robbie_,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…",nan
roberta_robbie_,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…",nan
peretton,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…",nan
strangrish,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…",🇧🇷
damnemme,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…","Rio Grande do Sul, Brasil"
ArieldeMorais,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…","São Paulo, Brasil"
CamaradaSantino,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…",34 59 20 106 36 52
kiwisthirlwall,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…","skam,skinsuk,mmfd,degrassi+"
Aiphos2,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…",nan
Berg_Flores,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…",West side of Oz 
Max_Laguna,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…",In the Fortress at the Siará.
Silver472,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…",Brasil
estrela__,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…","Hamburgo, Alemanha"
arsmethyst,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…","Curitiba, Brasil"
CarolAlzuguir,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…",Rio de Janeiro
nemoraguterres,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…",Palmas/Tocantins
julinha123m1,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…","Ceará, Brasil"
SilviaRosselini,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…",✈️ Dreamland | +5521
oleomorato,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…",São Paulo
thiagokct,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…",Vitória
carolazvdo12,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…",Brasil
CretinoFilosofo,"Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad… https://t.co/qNWFJdv6ZP","Pirassununga, Brasil"
byyjjjm,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…",Brasil
LuiCastB,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…",Venezuela ☺
reflectiondie,"RT @CretinoFilosofo: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95…",sfc • edu • gratidão 
itscabello,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…",برونا
Lebllack,"RT @kahemartins: Resultado da votação em Dublin, Irlanda

Ciro Gomes 369 votos
J. Bolsonaro 366 votos 
J. Amoedo 145 votos
F. Haddad 95 vot…",nan
