Usuario,Mensagem,Localizacao
willivmm,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…",Big Field - MS Brazil
Pcosta85,Porque não deu no primeiro turno? Urnas fraudadas e votos do Amoedo e Daciolo. Fim de papo. Nordeste não é o verdad… https://t.co/HoqsRMw176,"Uberlândia, MG, Brasil"
LuciioMamede,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,nan
nobrega_bea,"RT @rglioche: Pra quem ainda tinha dúvidas, o grande vencedor dessas #Eleições2018 foi o cabo Daciolo https://t.co/ZncM8FP8ID",Brasil
Rick_pelaes,"RT @thaadinis: Boca de Urna: 

Dilma, Suplicy e Lindbergh, por enquanto, fora do Senado. 

Me segura que vai baixar o santo Daciolo aqui ma…","Macapá, Brasil"
BarlowInBrazil,Gloria a deus!!! O Cabo Daciolo ficou na frente do Meirelles! #CaboDaciolo #eleições2018,nan
GisleideAndrade,"@SargentoFAHUR A missão não acabou,  missão dada tem de ser cumprida,  falta eleger o capitão.  #17Neles #Eleições2018 #EuVotoBolsonaro","Mooca, São Paulo"
soneklost,"@ConTVReal Memes valem mais do que dinheiro #GloriaAhDeuxzzz
#Eleições2018",onde estou..
e_ai_meu_chapa,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,nan
FAGNERalexand29,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,nan
Sam291203,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,nan
terezaneuman1,RT @opovoonline: Cabo Daciolo vai vencendo Geraldo Alckmin no Ceará. https://t.co/JUd0Phvbpx #Eleições2018 #EleiçõesOPOVO https://t.co/Xl7s…,"Pernambuco, Brasil"
dmconserva,"#Eleições2018 

Só com os votos do Daciolo já garantimos Bolsonaro Presidente ! Kkkk

Ele ficou na frente do Alvaro… https://t.co/YaWGL8VkJj","Jundiaí, Brasil"
NietzscheDC1,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,nan
denis9fduart,"Bom vamos aos cálculos:
Os quase 4% do Daciolo e Amoedo
Já colocam o Bolsonaro com quase 50%
Dúvido que perca voto… https://t.co/Sy5v2ywocz",República do Bananistão
Mahmundi,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,nan
marciodonizete,"- Cabo Daciolo teve mais votos que a Marina 
- Alckmin e Marina derrubaram as pesquisas e tiveram desempenho péssim… https://t.co/OhZqxqEGcG","São Caetano do Sul, São Paulo"
yasbfr,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,Setor leste inferior -Niltão
ahpanhossi,"a michele bastos acabou de dizer “kim kataguiri, 4ª colocada” #eleições2018",nan
carolepifanio,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,"Rio de Janeiro, Brasil"
luc4zn,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,Céu
kekinhastz39,"RT @greycifl: Votei em outro candidato mas meu coração é seu, Cabo Dada https://t.co/3d6CdzD4MF","Belém, Brasil"
claudia44166840,"RT @mordomoeugenio: Cabo Daciolo vai ser tipo o Bozo, um personagem que hoje é bizarro e amanhã corre risco de ser eleito. #Eleições2018"," Rio Grande do Sul, Brasil"
skarletharaujo,"RT @RainhaCarminha: A Marina só teve 1% dos votos até o Cabo Daciolo ficou na frente dela, chocada #Eleições2018 https://t.co/FeoNAwjSvh",nan
ChagasArnon,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…","Maceió, Brasil"
ada_br,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…","Rio de Janeiro, Brazil"
BAESTYONG,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,neo city
LazzBr,"RT @rglioche: Pra quem ainda tinha dúvidas, o grande vencedor dessas #Eleições2018 foi o cabo Daciolo https://t.co/ZncM8FP8ID",Cosmópolis-SP
NaTransversal,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…","Pelotas, Rio Grande do Sul"
FabianoCFX,"RT @rglioche: Pra quem ainda tinha dúvidas, o grande vencedor dessas #Eleições2018 foi o cabo Daciolo https://t.co/ZncM8FP8ID",Rio de Janeiro
kekehpicoleh,"RT @rglioche: Pra quem ainda tinha dúvidas, o grande vencedor dessas #Eleições2018 foi o cabo Daciolo https://t.co/ZncM8FP8ID",ES-Brasil 
FabianoCFX,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,Rio de Janeiro
Srgomeslucas,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,Joinville
cacaupedreira,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,nan
antoniogomesofi,"RT @RenovaMidia: Com 57,3% das urnas apuradas, o Cabo Daciolo (Patriota) tem uma vantagem de mais de 300 mil votos em relação seu adversári…",Rio de Janeiro
